gender,bs,rhyme,abc,les,spell,spcow,sprisk,frpl
M,5,10,6,2,1,6,1,2
M,3,10,9,2,0,10,0,1
M,6,8,6,1,2,7,1,1
M,5,9,2,1,3,10,0,1
M,4,8,2,0,0,3,1,1
M,5,8,2,2,0,12,0,1
M,5,1,1,13,4,13,0,1
M,6,9,3,3,0,19,0,1
M,5,6,2,0,1,11,1,1
M,2,2,2,1,0,25,0,1
M,6,5,10,0,1,19,0,1
M,5,9,8,3,1,19,0,1
M,2,3,2,3,0,22,0,1
M,0,1,0,0,0,0,1,1
M,3,5,7,7,0,8,0,1
M,0,3,2,1,1,18,0,1
M,5,7,9,1,1,16,0,1
M,4,9,4,1,0,0,1,1
M,7,7,4,4,2,24,0,1
M,5,7,4,2,1,17,0,1
M,2,4,15,6,0,12,0,1
M,3,2,15,2,0,18,0,1
M,4,7,4,0,0,5,1,1
M,4,3,2,2,2,22,0,1
M,4,7,13,2,0,17,0,1
M,4,5,4,2,0,18,0,1
M,4,4,6,4,2,12,1,1
M,4,4,13,4,2,22,0,1
M,3,4,1,0,1,16,1,1
M,3,2,7,4,2,25,0,1
M,6,2,1,7,2,15,0,1
M,4,10,7,3,0,19,0,1
M,0,0,0,0,0,0,1,1
M,6,4,10,0,1,14,0,1
M,7,4,1,0,0,22,0,1
M,7,7,3,3,4,19,0,1
M,6,6,5,3,3,12,1,1
M,2,4,14,3,0,17,0,1
M,3,5,10,4,1,7,1,1
M,5,2,10,3,4,22,0,1
M,4,3,4,3,0,8,0,1
M,4,3,3,0,0,0,1,1
M,5,10,5,1,2,12,1,1
M,2,2,2,0,0,4,1,2
M,4,2,15,5,2,23,0,2
M,1,3,12,3,1,20,0,2
M,3,5,7,0,0,19,0,2
M,2,4,4,1,2,2,1,2
M,7,10,6,1,2,9,1,2
M,4,3,7,2,0,21,0,2
M,2,2,9,5,1,15,0,2
M,4,4,8,0,2,16,0,2
M,6,6,8,3,0,14,0,2
M,5,2,0,0,0,2,1,2
M,5,5,1,0,2,6,1,2
M,5,6,1,1,1,22,0,2
M,5,3,4,1,0,13,1,2
M,6,4,13,1,1,22,0,2
M,4,0,3,2,0,13,0,2
M,5,7,8,5,1,8,0,2
M,5,5,1,2,2,9,0,2
M,7,6,7,0,0,17,0,2
M,4,6,1,4,2,9,1,2
M,9,10,2,1,0,13,1,2
M,4,9,3,1,2,14,0,2
M,7,5,6,1,3,20,0,2
M,2,6,4,2,1,20,0,2
M,6,6,5,0,3,20,0,2
M,6,9,2,2,2,17,0,2
M,3,5,6,4,2,19,0,2
M,6,10,7,3,0,21,0,2
M,7,8,8,3,0,24,0,2
M,5,4,2,1,0,23,0,2
M,5,7,3,2,1,25,0,2
M,3,3,10,0,0,11,1,2
M,5,8,3,0,0,9,1,2
M,4,5,6,5,0,8,0,2
M,0,1,2,0,0,10,1,2
M,5,9,7,0,2,9,1,2
M,10,4,7,5,0,21,0,2
M,4,10,4,0,0,21,0,2
M,3,5,7,2,4,0,1,2
M,4,4,13,0,1,22,0,2
M,2,3,3,1,0,3,1,2
M,3,4,5,8,2,14,0,2
M,3,6,4,0,2,14,0,2
M,3,7,3,0,0,20,0,2
M,3,4,10,2,2,16,0,2
M,3,6,7,4,3,6,1,2
M,0,0,6,0,0,3,1,2
M,8,10,6,0,0,22,0,2
M,5,10,6,3,0,14,0,2
M,5,7,6,3,0,3,1,2
